,Cmp,Att,Yds,Bats,ThAwy,Spikes,Drops,Drop%,BadTh,Bad%,OnTgt,OnTgt%,W
0,408,628,4363,6,18,1,34,5.60%,89,14.60%,460,75.50%,4
1,410,596,4620,5,22,0,27,4.70%,93,16.20%,450,78.40%,13
2,373,550,3888,7,19,2,26,4.90%,75,14.20%,416,78.60%,5
3,402,614,3655,6,15,2,18,3.00%,104,17.40%,452,75.70%,8
4,372,581,3448,5,11,3,28,4.90%,90,15.90%,430,75.80%,4
5,315,501,3539,8,28,5,21,4.50%,88,18.80%,349,74.60%,11
6,371,552,4053,11,15,3,18,3.40%,88,16.50%,410,76.80%,11
7,387,575,3916,14,25,8,13,2.40%,90,16.60%,419,77.30%,8
8,413,639,4161,9,18,3,36,5.80%,105,17.00%,467,75.60%,6
9,317,556,3451,8,19,2,31,5.80%,119,22.20%,367,68.60%,5
10,374,582,4104,9,8,8,36,6.40%,101,17.80%,439,77.60%,5
11,372,526,4106,3,23,3,27,5.40%,69,13.80%,406,81.20%,13
12,383,546,4538,5,19,2,19,3.60%,80,15.20%,420,80.00%,4
13,387,616,3699,10,26,4,22,3.80%,113,19.30%,429,73.20%,1
14,420,630,4854,8,21,1,29,4.80%,106,17.40%,469,77.10%,14
15,370,559,3736,7,7,4,22,4.00%,91,16.60%,421,76.80%,10
16,349,516,4009,11,27,3,18,3.70%,67,13.80%,395,81.30%,7
17,370,522,3758,4,10,2,27,5.30%,70,13.70%,409,80.20%,12
18,283,440,2890,10,18,2,19,4.50%,83,19.80%,314,74.80%,7
19,321,517,3026,8,15,2,28,5.60%,90,18.00%,376,75.20%,6
20,292,499,2796,8,31,3,19,4.10%,91,19.60%,333,71.60%,2
21,316,485,3653,8,19,0,20,4.30%,64,13.70%,357,76.60%,11
22,334,598,3327,11,35,2,28,5.00%,127,22.60%,381,67.90%,4
23,428,656,4003,13,4,0,43,6.60%,100,15.30%,499,76.50%,12
24,369,551,4217,5,21,5,21,4.00%,86,16.40%,412,78.50%,8
25,392,590,4014,7,25,2,28,5.00%,94,16.70%,438,77.80%,10
26,257,406,2739,7,10,3,21,5.30%,73,18.60%,289,73.50%,11
27,413,627,4329,7,9,4,24,3.90%,112,18.20%,468,76.20%,7
28,388,563,3941,4,24,1,27,5.00%,85,15.80%,428,79.60%,12
29,371,570,4033,9,11,1,34,6.10%,89,15.90%,426,76.30%,6
30,410,626,4626,4,13,4,32,5.30%,127,20.90%,449,73.70%,11
31,389,601,3465,10,25,0,23,4.00%,107,18.60%,426,74.00%,7
