,Tm,W,Cmp,Att,Yds,IAY,IAY/PA,CAY,CAY/Cmp,CAY/PA,YAC,YAC/Cmp
0,Atlanta Falcons,4,408,628,4363,5412,8.6,2976,7.3,4.7,1387,3.4
1,Buffalo Bills,13,410,596,4620,5133,8.6,2859,7.0,4.8,1761,4.3
2,Carolina Panthers,5,373,550,3888,4118,7.5,2098,5.6,3.8,1790,4.8
3,Chicago Bears,8,402,614,3655,4874,7.9,2208,5.5,3.6,1447,3.6
4,Cincinnati Bengals,4,372,581,3448,4736,8.2,2005,5.4,3.5,1443,3.9
5,Cleveland Browns,11,315,501,3539,4226,8.4,2296,7.3,4.6,1243,3.9
6,Indianapolis Colts,11,371,552,4053,3971,7.2,1947,5.2,3.5,2106,5.7
7,Arizona Cardinals,8,387,575,3916,4460,7.8,2234,5.8,3.9,1682,4.3
8,Dallas Cowboys,6,413,639,4161,4748,7.4,2451,5.9,3.8,1710,4.1
9,Denver Broncos,5,317,556,3451,5001,9.0,2041,6.4,3.7,1410,4.4
10,Detroit Lions,5,374,582,4104,4981,8.6,2510,6.7,4.3,1594,4.3
11,Green Bay Packers,13,372,526,4106,4135,7.9,2051,5.5,3.9,2055,5.5
12,Houston Texans,4,383,546,4538,4865,8.9,2865,7.5,5.2,1673,4.4
13,Jacksonville Jaguars,1,387,616,3699,4847,7.9,2248,5.8,3.6,1451,3.7
14,Kansas City Chiefs,14,420,630,4854,5096,8.1,2524,6.0,4.0,2330,5.5
15,Miami Dolphins,10,370,559,3736,4264,7.6,2282,6.2,4.1,1454,3.9
16,Minnesota Vikings,7,349,516,4009,4103,8.0,2329,6.7,4.5,1680,4.8
17,New Orleans Saints,12,370,522,3758,3255,6.2,2034,5.5,3.9,1724,4.7
18,New England Patriots,7,283,440,2890,2995,6.8,1578,5.6,3.6,1312,4.6
19,New York Giants,6,321,517,3026,3778,7.3,2070,6.4,4.0,956,3.0
20,New York Jets,2,292,499,2796,4243,8.5,1599,5.5,3.2,1197,4.1
21,Tennessee Titans,11,316,485,3653,4064,8.4,2302,7.3,4.7,1351,4.3
22,Philadelphia Eagles,4,334,598,3327,5319,8.9,2227,6.7,3.7,1100,3.3
23,Pittsburgh Steelers,12,428,656,4003,4652,7.1,2061,4.8,3.1,1942,4.5
24,Las Vegas Raiders,8,369,551,4217,4492,8.2,2327,6.3,4.2,1890,5.1
25,Los Angeles Rams,10,392,590,4014,3764,6.4,1938,4.9,3.3,2076,5.3
26,Baltimore Ravens,11,257,406,2739,3524,8.7,1647,6.4,4.1,1092,4.2
27,Los Angeles Chargers,7,413,627,4329,4728,7.5,2249,5.4,3.6,2080,5.0
28,Seattle Seahawks,12,388,563,3941,4834,8.6,2404,6.2,4.3,1537,4.0
29,San Francisco 49ers,6,371,570,4033,3770,6.6,2023,5.5,3.5,2010,5.4
30,Tampa Bay Buccaneers,11,410,626,4626,5639,9.0,2896,7.1,4.6,1730,4.2
31,Washington Football Team,7,389,601,3465,3711,6.2,1603,4.1,2.7,1862,4.8
