,Cmp,Att,Yds,Sk,PktTime,Bltz,Hrry,Hits,Prss,Prss%,Scrm,Yds/Scr,W
0,408,628,4363,41,2.6,206,55,71,167,24.40%,16,6.5,4
1,410,596,4620,27,2.6,254,65,48,140,21.50%,29,7.9,13
2,373,550,3888,36,2.3,178,46,42,124,19.90%,37,7.4,5
3,402,614,3655,36,2.3,179,40,63,139,20.70%,20,8.9,8
4,372,581,3448,48,2.3,195,37,72,157,24.10%,23,5.2,4
5,315,501,3539,26,2.6,184,49,31,106,19.20%,25,6.1,11
6,371,552,4053,21,2.4,127,40,37,98,17.00%,2,2.5,11
7,387,575,3916,29,2.4,160,55,25,109,16.60%,51,8.4,8
8,413,639,4161,44,2.4,218,56,53,153,21.60%,26,7.1,6
9,317,556,3451,32,2.6,217,66,70,168,27.40%,26,5.8,5
10,374,582,4104,42,2.4,194,48,49,139,21.60%,19,7.9,5
11,372,526,4106,21,2.4,168,33,28,82,14.40%,24,6.2,13
12,383,546,4538,50,2.5,170,75,47,172,26.10%,62,6.4,4
13,387,616,3699,44,2.4,167,58,40,142,20.60%,29,6.3,1
14,420,630,4854,24,2.5,150,64,63,151,21.80%,40,7.3,14
15,370,559,3736,34,2.2,216,36,46,116,18.50%,33,6.8,10
16,349,516,4009,39,2.6,181,56,78,173,30.20%,17,8.1,7
17,370,522,3758,29,2.4,138,24,47,100,17.50%,20,8.3,12
18,283,440,2890,37,2.6,209,53,40,130,26.00%,23,8.7,7
19,321,517,3026,50,2.5,222,62,64,176,29.70%,26,6.0,6
20,292,499,2796,43,2.4,201,59,58,160,27.90%,31,7.5,2
21,316,485,3653,25,2.5,162,37,61,123,23.20%,20,7.4,11
22,334,598,3327,65,2.6,230,53,80,198,27.80%,49,7.4,4
23,428,656,4003,14,2.1,187,54,55,123,18.20%,4,5.5,12
24,369,551,4217,28,2.5,178,59,32,119,19.60%,28,5.4,8
25,392,590,4014,25,2.4,203,45,58,128,20.00%,24,5.1,10
26,257,406,2739,32,2.5,115,51,28,111,22.70%,50,7.3,11
27,413,627,4329,34,2.4,180,90,72,196,28.50%,27,5.4,7
28,388,563,3941,48,2.6,210,65,68,181,27.30%,53,8.7,12
29,371,570,4033,39,2.4,193,45,83,167,27.10%,7,5.4,6
30,410,626,4626,22,2.4,169,35,58,115,17.60%,6,4.3,11
31,389,601,3465,50,2.4,163,64,62,176,26.30%,17,6.9,7
